word,related fact
file,"(1939) and Ph.D. (1942), Plant Pathology), 1970 Nobel Prize in Peace Herb Brooks (B.A., 1962), Olympic ice hockey coach Nick Clegg (Fellow, 1989–90) Deputy Prime Minister of the United Kingdom Bob Dylan (Literature & Arts, 1959–1960) 2016 Nobel Prize in Literature Hubert Humphrey (B.A., 1939) 38th Vice President of the United States Garrison Keillor (B.S, English, 1966), author Walter Mondale (B.A., Political Science, 1951), 42nd Vice President of the United States Deke Slayton (B.S., Aeronautical Engineering, 1949), Mercury Seven astronaut William L. Armstrong, American Businessman and United States Senator from Colorado
Original file ‎(1,936 × 1,464 pixels, file size: 334 KB, MIME type: image/jpeg) Identifier: highschoolmagazi00high (find matches)Title: The High School Magazine."
file,Click on a date/time to view the file as it appeared at that time.
file,"The various levels of protection are detailed below, and they can be applied to the page edit, page move, page create, and file upload actions."
file,"Original file ‎(1,096 × 1,113 pixels, file size: 3.13 MB, MIME type: image/tiff) Transferred from en.wikipedia to Commons by Liftarn using CommonsHelper."
file,.tif .jpg العربية ∙ български ∙ Deutsch ∙ English ∙ Esperanto ∙ español ∙ français ∙ Ido ∙ 日本語 ∙ 한국어 ∙ македонски ∙ മലയാളം ∙ Nederlands ∙ português ∙ русский ∙ Türkçe ∙ українська ∙ 简体中文 ∙ 繁體中文 ∙ 正體中文（臺灣） ∙ +/− https://creativecommons.org/publicdomain/mark/1.0/PDMCreative Commons Public Domain Mark 1.0falsefalse Click on a date/time to view the file as it appeared at that time.
file,"Or you file your story with the right height, and the copy desk changes it because they have the 'official' N.B.A."
file,"Editors wishing to re-create a salted title with appropriate content should either contact an administrator (preferably the protecting administrator), file a request at Wikipedia:Requests for page protection#Current requests for reduction in protection level, or use the deletion review process."
file,"Original file ‎(1,080 × 1,334 pixels, file size: 231 KB, MIME type: image/jpeg) This template must not be used to dedicate an uploader's own work to the public domain; CC0 should be used instead."
file,"This file contains additional information, probably added from the digital camera or scanner used to create or digitize it."
file,"Original file ‎(2,372 × 3,000 pixels, file size: 3.55 MB, MIME type: image/jpeg) العربية ∙ Deutsch ∙ English ∙ español ∙ français ∙ italiano ∙ 日本語 ∙ 한국어 ∙ македонски ∙ മലയാളം ∙ Nederlands ∙ polski ∙ português ∙ русский ∙ slovenščina ∙ Türkçe ∙ українська ∙ Tiếng Việt ∙ 中文（简体） ∙ 中文（繁體） ∙ +/− Please do not overwrite this file: any restoration work should be uploaded with a new name and linked in this page's ""other versions="" parameter, so that this file represents the exact file found in the NARA catalog record to which it links."
file,"Original file ‎(SVG file, nominally 300 × 300 pixels, file size: 4 KB) Derivative works of this file: In some countries this may not be legally possible; if so:Thadius856 grants anyone the right to use this work for any purpose, without any conditions, unless such conditions are required by law."
file,Upload protection does not protect file pages from editing.
file,"If the file has been modified from its original state, some details may not fully reflect the modified file."
file,"The following other wikis use this file: This file contains additional information, probably added from the digital camera or scanner used to create or digitize it."
file,"The effect of this at the start of the war was that well over a quarter of the rank and file were Slavs, while more than 75% of the officers were ethnic Germans."
file,"Generic file names such as File:Photo.jpg, File:Example.jpg, File:Map.jpg, and File:Sound.wav are fully protected to prevent new versions from being uploaded."
file,All files are implicitly move-protected; only file movers and administrators can rename files.
file,"Coordinates: 42°6′15.6″N 72°33′18.2″W﻿ / ﻿42.104333°N 72.555056°W﻿ / 42.104333; -72.555056
Original file ‎(1,096 × 1,113 pixels, file size: 3.13 MB, MIME type: image/tiff) Transferred from en.wikipedia to Commons by Liftarn using CommonsHelper."
file,"Although relatively minor, they reflected a belief among the rank and file that their sacrifices were not appreciated by their government or senior officers."
file,27 September 2015 Click on a date/time to view the file as it appeared at that time.
file,"Original file ‎(1,936 × 1,464 pixels, file size: 334 KB, MIME type: image/jpeg) Identifier: highschoolmagazi00high (find matches)Title: The High School Magazine."
file,The following list shows the first 100 pages that use this file only.
dowel,"Such machines may employ interchangeable cutting heads of varying diameters, thus enabling the machines to be quickly changed to manufacture different dowel diameters."
dowel,"To make a dowel, a piece of wood is split or whittled to a size slightly bigger than desired and then driven through the hole in the dowel plate."
dowel,"Some dowel plates solve the problem by cutting a groove in the side of the dowel as it is forced through; this is done by a groove screw, a pointed screw intruding from the side into the dowel cutting opening."
dowel,"Typically, the mechanism is open-ended, with material guides at the machine's entry and exit to enable fabrication of continuous dowel rods of unlimited length."
dowel,"If no provision is made to relieve the hydraulic pressure of air and glue, hammering the dowel home or clamping the joint can split the wood."
dowel,"When dowels are glued into blind holes, a very common case in dowel-based joinery, there must be a path for air and excess glue to escape when the dowel is pressed into place."
dowel,"In its original manufactured form, a dowel is called a dowel rod."
dowel,"This quickly proved tedious, so Naismith removed the bottom of the basket to allow the balls to be poked out with a long dowel after each scored basket."
dowel,"Peach blossoms Incipient fruit development Peaches on tree Peaches in a basket Portrait of Isabella and John Stewart by Charles Willson Peale, 1774 Still Life Basket of Peaches by Raphaelle Peale, 1816 A Jar of Peaches by Claude Monet c. 1866 ""Spring 4, peach-blossoms and green pheasants"" by Kōno Bairei, 1883 Peach (cultivar 'Berry'), watercolour, 1895
A dowel is a cylindrical rod, usually made of wood, plastic, or metal."
dowel,"The word dowel was used in Middle English; it appears in Wycliffe's Bible translation (circa 1382–1395) in a list of the parts of a wheel: ""...and the spokis, and dowlis of tho wheelis...""[10]
Springfield College is a private college in Springfield, Massachusetts."
dowel,"For modest manufacturing volumes, wood dowels are typically manufactured on industrial dowel machines based on the same principles as the rotary cutters described above."
dowel,"[citation needed] Dowels are commonly used as structural reinforcements in cabinet making and in numerous other applications, including: The traditional tool for making dowels is a dowel plate, an iron (or better, hardened tool steel) plate with a hole having the size of the desired dowel."
dowel,Dowel rods are often cut into short lengths called dowel pins.
dowel,"Since the 19th century, some of these dowel machines have had power feed mechanisms to move the stock past the cutting mechanism."
dribble,"Small forward (the ""3"") : often primarily responsible for scoring points via cuts to the basket and dribble penetration; on defense seeks rebounds and steals, but sometimes plays more actively."
dribble,It is therefore important for a player to be able to dribble competently with both hands.
dribble,A player who catches the ball while moving or ends a dribble may stop and establish a pivot foot as follows: Art.
dribble,"h. Upon ending his dribble or gaining control of the ball, a player may not touch the floor consecutively with the same foot (hop)."
dribble,It occurs when the dribbling player continues to dribble after allowing the ball to come to rest in one or both hands and/or places their hand underneath the basketball.
dribble,"In more recent times specific positions evolved, but the current trend, advocated by many top coaches including Mike Krzyzewski, is towards positionless basketball, where big players are free to shoot from outside and dribble if their skill allows it."
dribble,"Good ball handlers frequently dribble behind their backs, between their legs, and switch directions suddenly, making a less predictable dribbling pattern that is more difficult to defend against."
dribble,"A skilled player can dribble without watching the ball, using the dribbling motion or peripheral vision to keep track of the ball's location."
dribble,The dribble ends when the player:[3] Art.
dribble,Nor may a player stop his dribble and then resume dribbling.
dribble,"In basketball, an illegal dribble (colloquially called a double dribble or dribbling violation) occurs when a player ends their dribble by catching or causing the ball to come to rest in one or both hands and then dribbles it again with one hand or when a player touches it before the ball hits the ground."
dribble,"c. In starting a dribble after (1) receiving the ball while standing still, or (2) coming to a legal stop, the ball must be out of the player’s hand before the pivot foot is raised off the floor."
dribble,"Harvard, however, preferred to play a rougher version of football called ""the Boston Game"" in which the kicking of a round ball was the most prominent feature though a player could run with the ball, pass it, or dribble it (known as ""babying"")."
dribble,The dribble also ends when the dribbler palms/carries the ball by allowing it to come to rest in one or both hands.
dribble,"In the National Basketball Association, a dribble is movement of the ball, caused by a player in control, who throws or touches the ball into the air or to the floor."
dribble,"The Euro-Step itself involves picking up one's dribble while dribbling, taking one step in one direction, then quickly taking a step in the other direction to avoid the defender to create room for a layup attempt."
dribble,"A dribble that touches both hands is considered stopping the dribble, giving this infraction the name double dribble."
dribble,"[dubious – discuss] Dribbling was common by 1896, with a rule against the double dribble by 1898."
dribble,"To make use of the move efficiently, it is best to dribble in aggressively then take two broad steps in different directions while simultaneously bringing the ball over one's head in the direction one is stepping for maximum evasion and protection while potentially drawing a foul."
dribble,A player who receives the ball while he is progressing must release the ball to start his dribble before his second step.
dribble,"When dribbling past an opponent, the dribbler should dribble with the hand farthest from the opponent, making it more difficult for the defensive player to get to the ball."
dribble,"24.2 of the FIBA rules [4] provides that: A player shall not dribble for a second time after his first dribble has ended unless between the 2 dribbles he has lost control of a live ball on the playing court because of: Under NCAA, NFHS and FIBA rules, if an illegal dribble violation occurs, then the ball is awarded to the opposing team out of bounds nearest the point where the violation took place."
dribble,"""You couldn't dribble it."
layup,"A layup in basketball is a two-point shot attempt made by leaping from below, laying the ball up near the basket, and using one hand to bounce it off the backboard and into the basket."
layup,The Reverse Layup is a more stylish method of making the ball from close.
layup,"Common layup strategies are to create spaces, release the ball from a different spot, or use alternate hands."
layup,An undefended layup is usually a high percentage shot.
layup,"Finger rolls today have many forms, including the ""Around the World"" which involves a complete circle around the player before the layup and a variety of faking in the approach to the rim."
layup,It is common for players to create room for a layup by making use of the allotted two steps before the layup attempt.
layup,The underarm layup involves using most of the wrist and the fingers to 'lay' the ball into the net or off the board.
layup,The layup is considered the most basic shot in basketball.
layup,"The other layup is the overhand shot, similar to a jump shot but from a considerably close range."
layup,Several different versions of the layup are around today.
layup,His Reverse Layup consisted of him staying on the same side of the hoop while doing the Reverse Layup.
layup,One notable Reverse Layup was that of Michael Jordan.
layup,This layup is more commonly known as the finger roll.
layup,"The inner rectangle on the backboard is 24 inches (61 cm) wide by 18 inches (46 cm) tall, and helps a shooter determine the proper aim and banking for either a layup or distance shot."
layup,"The Euro-Step itself involves picking up one's dribble while dribbling, taking one step in one direction, then quickly taking a step in the other direction to avoid the defender to create room for a layup attempt."
layup,"The hang time is the length of time a player stays in the air after jumping, either to make a slam dunk, layup or jump shot."
layup,"Generally, you fake the defender into defending a regular layup on the near side and then jump to the far side of the basket before shooting."
accuracy,"If you see an article that may be inaccurate, please do the following: If you see an article with a factual accuracy warning, please do the following: If a Wikipedia article links to this page, it is because someone is concerned that the article contains inaccurate statement(s)."
accuracy,Good passers can pass the ball with great accuracy and they know exactly where each of their other teammates prefers to receive the ball.
accuracy,"There are, however, a number of opinions about the accuracy of dates, the earliest estimates at 5000 BCE."
accuracy,"The accuracy of a statement may be a cause for concern if: If your work has been tagged: If you come across a statement with an accuracy warning, please do the following: If you come across a statement that seems or is inaccurate, please do the following: If you cannot correct it right away: When you add an accuracy warning, you are invited to also help resolve other accuracy disputes or fact-check other articles listed in:
To fill out this checklist, please add the following code to the template call: To-do list for Basketball: edit · history · watch · refresh · Updated 2011-05-10 There is a request, submitted by Catfurball, for an audio version of this article to be created."
accuracy,"The most crowd-pleasing and typically highest-percentage accuracy shot is the slam dunk, in which the player jumps very high and throws the ball downward, through the basket while touching it."
accuracy,"Filling out a tournament bracket with predictions is called the practice of ""bracketology"" and sports programming during the tournament is rife with commentators comparing the accuracy of their predictions."
accuracy,"Articles for which much of the factual accuracy is actively disputed should have a {{Disputed}} warning place at the top, and they are listed at Category:Accuracy disputes."
